COUNTY AREA TOTAL DEM REP LIB IND GRN OTH
"Fairfax County" "614 - Riverside" 1363 720 516 41 44 10 32
"Fairfax County" "615 - Woodley" 1794 1068 586 48 35 13 44
"Fairfax County" "616 - Gunston" 1643 806 735 44 32 9 17
"Fairfax County" "617 - Lorton" 1434 1106 269 15 18 12 14
"Fairfax County" "618 - Newington" 3324 2085 984 94 83 31 47
"Fairfax County" "619 - Belvoir" 1455 894 463 39 26 14 19
"Fairfax County" "621 - Grosvenor" 1471 1056 293 46 40 22 14
"Fairfax County" "622 - Lorton Station" 2180 1616 451 47 30 18 18
"Fairfax County" "623 - Alban" 1960 1308 511 64 37 21 19
"Fairfax County" "625 - Lorton Center" 1294 843 366 33 22 19 11
"Fairfax County" "626 - Saratoga" 2364 1461 739 63 41 23 37
"Fairfax County" "627 - Woodlawn" 2522 1831 561 59 35 18 18
"Fairfax County" "628 - Laurel Hill" 2492 1741 630 50 27 19 25
"Fairfax County" "629 - South County" 1909 1063 736 45 25 14 26
"Fairfax County" "701 - Blake" 2761 1848 697 86 80 27 23
"Fairfax County" "703 - Fort Buffalo" 1335 972 260 39 34 11 19
"Fairfax County" "704 - Freedom Hill" 1412 904 423 29 14 13 29
"Fairfax County" "705 - Graham - Greenway" 2428 1713 546 66 49 21 33
"Fairfax County" "707 - Mantua" 1400 884 431 34 23 11 17
"Fairfax County" "708 - Marshall" 3036 2171 625 101 67 36 36
"Fairfax County" "709 - Mosby" 2013 1387 470 60 42 22 32
"Fairfax County" "710 - Pine Spring" 1556 1057 351 61 47 14 26
"Fairfax County" "711 - Price" 1317 813 411 43 22 10 18
"Fairfax County" "712 - Shreve" 987 646 251 36 31 11 12
"Fairfax County" "713 - Timber Lane" 2014 1426 445 53 44 20 26
"Fairfax County" "714 - Walker" 2093 1365 596 55 43 15 19
"Fairfax County" "717 - Woodburn" 1267 863 297 38 40 15 14
"Fairfax County" "718 - Pine Ridge" 1534 1024 418 38 22 15 17
"Fairfax County" "720 - Thoreau" 1869 1189 531 59 42 14 34
"Fairfax County" "721 - Merrifield" 3617 2586 712 151 80 44 44
"Fairfax County" "726 - Magarity" 2185 1469 533 64 62 30 27
"Fairfax County" "727 - Oakton" 1590 861 593 40 46 15 35
"Fairfax County" "729 - Nottoway" 2014 1312 523 63 55 27 34
"Fairfax County" "730 - Penderbrook" 2357 1468 710 77 47 29 26
"Fairfax County" "731 - Tysons" 1578 1058 398 54 32 15 21
"Fairfax County" "732 - Oak Marr" 2213 1210 819 68 54 20 42
"Fairfax County" "733 - Kilmer" 2447 1682 606 64 35 25 35
"Fairfax County" "734 - Hunters Branch" 1269 905 260 51 30 11 12
"Fairfax County" "735 - Rotonda" 821 545 226 8 14 21 7
"Fairfax County" "801 - Burke" 2967 1916 833 92 71 21 34
"Fairfax County" "802 - Cedar Lake" 821 527 238 20 20 5 11
"Fairfax County" "803 - Clifton" 2691 1081 1425 78 50 12 45
"Fairfax County" "804 - Colchester" 1217 605 538 29 19 7 19
"Fairfax County" "805 - Fairfax Station" 1019 506 443 24 23 7 16
"Fairfax County" "806 - Sydenstricker" 2101 1187 741 70 58 14 31
"Fairfax County" "807 - Hunt Valley" 1401 802 485 47 40 9 18
"Fairfax County" "811 - Pohick" 1291 864 342 33 25 12 15
"Fairfax County" "812 - Valley" 1814 1082 608 53 40 10 21
"Fairfax County" "815 - Woodyard" 1796 812 854 47 30 6 47
"Fairfax County" "824 - Orange" 2587 1421 944 90 71 22 39
"Fairfax County" "825 - Cherry Run" 1861 1028 700 50 41 7 35
"Fairfax County" "827 - Irving" 1674 953 587 37 43 18 36
"Fairfax County" "833 - White Oaks" 1979 1274 574 61 38 14 18
"Fairfax County" "838 - Sangster" 1374 736 540 37 28 7 26
"Fairfax County" "839 - Silverbrook" 2195 1126 909 69 41 12 38
"Fairfax County" "840 - West Springfield" 1918 1134 628 40 55 17 44
"Fairfax County" "841 - Popes Head" 1032 464 484 29 28 6 21
"Fairfax County" "842 - Parkway" 1521 797 609 33 36 11 35
"Fairfax County" "843 - Fair Lakes" 2081 1309 618 80 37 21 16
"Fairfax County" "844 - Centerpointe" 1834 1238 436 76 33 32 19
"Fairfax County" "845 - Fountainhead" 2452 1136 1163 72 31 8 42
"Fairfax County" "846 - Greenbriar East" 2228 1395 661 81 47 19 25
"Fairfax County" "847 - Greenbriar West" 1533 874 545 51 27 14 22
"Fairfax County" "848 - Fair Oaks" 2092 1350 615 59 27 22 19
"Fairfax County" "849 - Newgate North" 1140 608 449 40 20 4 19
"Fairfax County" "850 - South Run" 1828 923 786 43 38 6 32
"Fairfax County" "851 - Willow Springs" 1689 905 676 44 25 13 26
"Fairfax County" "854 - Newgate South" 1958 883 916 52 46 22 39
"Fairfax County" "901 - Centre Ridge" 2103 1379 578 71 31 29 15
"Fairfax County" "902 - Brookfield" 2624 1736 732 69 42 26 19
"Fairfax County" "903 - Cub Run" 2425 1324 890 92 66 21 32
"Fairfax County" "904 - Stonecroft" 1074 529 448 51 31 5 10
"Fairfax County" "905 - Franklin" 647 391 198 27 17 3 11
"Fairfax County" "908 - Hidden Meadow" 1515 820 580 48 35 11 21
"Fairfax County" "909 - Oak Hill" 1470 898 480 44 23 10 15
"Fairfax County" "910 - London Towne" 2453 1644 630 75 54 24 26
"Fairfax County" "911 - Navy" 2106 1251 724 50 36 16 29
"Fairfax County" "913 - Rocky Run" 2687 1440 1047 84 43 27 46
"Fairfax County" "914 - Vale" 1439 765 548 50 30 10 36
"Fairfax County" "915 - Virginia Run" 1746 781 856 52 23 9 25
"Fairfax County" "916 - Waples Mill" 2674 1416 1064 84 50 18 42
"Fairfax County" "917 - Stone North" 1250 758 391 56 19 5 21
"Fairfax County" "918 - Centreville" 2852 1821 801 105 61 30 34
"Fairfax County" "919 - Green Trails" 2646 1636 814 77 59 29 31
"Fairfax County" "920 - Chantilly" 1869 1132 627 46 25 9 30
"Fairfax County" "921 - Deer Park" 2113 1052 881 84 49 23 24
"Fairfax County" "923 - Bull Run" 1368 603 670 39 27 6 23
"Fairfax County" "924 - Spindle" 1323 886 330 48 29 15 15
"Fairfax County" "925 - Old Mill" 1262 722 446 52 20 12 10
"Fairfax County" "925 - Old Mill" 0 0 0 0 0 0 0
"Fairfax County" "926 - Powell" 2919 1914 820 101 36 23 25
"Fairfax County" "927 - Armfield" 1294 786 427 39 18 7 17
"Fairfax County" "928 - Poplar Tree" 1817 1033 662 56 24 11 31
"Fairfax County" "929 - Difficult Run" 453 211 203 15 6 3 15
"Fairfax County" "930 - Lees Corner" 1438 819 480 56 43 20 20
"Fairfax County" "931 - Carson" 1460 893 447 50 34 18 18
"Fairfax County" "932 - Stone South" 1115 731 300 35 24 13 12
"Fairfax County" "933 - Compton" 505 302 165 13 13 7 5
"Fairfax County" "Ab - Central Absentee Precinct" 27549 17488 8233 809 428 136 455
"Fairfax County" "Ab - Central Absentee Precinct" 56979 40351 13165 1487 890 351 735
"Fairfax County" "Ab - Central Absentee Precinct" 36132 26158 7795 869 562 239 509
"Fairfax County" Provisional 121 72 38 8 0 0 3
"Fairfax County" Provisional 321 201 90 16 6 5 3
"Fairfax County" Provisional 266 187 55 11 11 0 2
"Fairfax City" "1 - One" 1545 919 478 72 40 15 21
"Fairfax City" "2 - Two" 1436 797 523 55 32 7 22
"Fairfax City" "3 - Three" 1999 1180 650 77 43 21 28
"Fairfax City" "4 - Four" 1605 962 490 66 45 13 29
"Fairfax City" "5 - Five" 1392 846 434 39 35 21 17
"Fairfax City" "6 - Six" 1466 912 446 50 31 10 17
"Fairfax City" "Ab - Central Absentee Precinct" 2574 1747 674 68 37 19 29
"Fairfax City" Provisional 13 4 7 0 0 1 1
"Falls Church City" "1 - First Ward" 1797 1259 365 55 71 20 27
"Falls Church City" "2 - Second Ward" 1456 1044 275 39 51 15 32
"Falls Church City" "3 - Third Ward" 1876 1318 390 72 61 18 17
"Falls Church City" "Ab - Central Absentee Precinct" 2617 2189 293 70 45 17 3
"Falls Church City" Provisional 11 9 1 1 0 0 0
"Fauquier County" "101 - Kettle Run" 875 200 626 22 19 5 3
"Fauquier County" "102 - Catlett" 2053 475 1476 58 23 7 14
"Fauquier County" "103 - Casanova" 908 323 554 18 4 5 4
"Fauquier County" "104 - Lois" 923 242 633 20 13 6 9
"Fauquier County" "105 - Opal" 912 237 624 25 17 1 8
"Fauquier County" "106 - Baldwin Ridge" 1110 386 634 43 31 8 8
"Fauquier County" "201 - Courthouse" 2194 917 1115 76 36 28 22
"Fauquier County" "202 - Airlie" 1807 615 1073 69 25 9 16
"Fauquier County" "203 - Warrenton" 1992 853 985 69 45 16 24
"Fauquier County" "301 - Morrisville" 1467 342 1057 35 11 10 12
"Fauquier County" "302 - Remington" 1966 604 1234 65 35 13 15
"Fauquier County" "303 - Bealeton" 2397 828 1401 110 27 20 11
"Fauquier County" "401 - Marshall" 1944 694 1116 71 20 27 16
"Fauquier County" "402 - Leeds" 1660 690 885 40 18 9 18
"Fauquier County" "403 - Waterloo" 1992 636 1239 60 24 17 16
"Fauquier County" "404 - Springs Valley" 957 322 584 22 18 3 8
"Fauquier County" "501 - The Plains" 1595 718 796 36 26 11 8
"Fauquier County" "502 - New Baltimore" 1763 518 1121 57 41 11 15
"Fauquier County" "503 - Broad Run" 1501 494 915 40 22 10 20
"Fauquier County" "504 - Vint Hill" 2731 870 1675 88 50 19 29
"Fauquier County" "Ab - Central Absentee Precinct" 584 210 324 22 12 10 6
"Fauquier County" "Ab - Central Absentee Precinct" 4107 1786 2043 144 80 22 32
"Fauquier County" Provisional 5 1 4 0 0 0 0
"Fauquier County" Provisional 24 10 13 1 0 0 0
"Floyd County" "101 - Locust Grove" 1446 382 993 31 17 13 10
"Floyd County" "201 - Little River" 1526 456 963 40 26 26 15
"Floyd County" "301 - Courthouse" 1309 449 774 36 14 23 13
"Floyd County" "401 - Burks Fork" 1324 309 950 31 7 18 9
"Floyd County" "501 - Indian Valley" 1373 271 1055 15 16 9 7
"Floyd County" "Ab - Central Absentee Precinct" 1069 433 554 32 11 18 21
"Floyd County" Provisional 4 0 4 0 0 0 0
"Fluvanna County" "101 - Palmyra" 2759 1224 1373 95 35 17 15
"Fluvanna County" "201 - Columbia" 1819 729 997 47 24 10 12
"Fluvanna County" "301 - Fork Union" 1951 905 959 43 24 8 12
"Fluvanna County" "401 - Cunningham" 2483 780 1556 71 39 14 23
"Fluvanna County" "501 - Rivanna" 2673 1138 1330 99 68 22 16
"Fluvanna County" "Ab - Central Absentee Precinct" 1896 975 803 70 28 9 11
"Fluvanna County" Provisional 16 9 7 0 0 0 0
"Franklin County" "102 - Burnt Chimney" 1770 437 1248 54 14 6 11
"Franklin County" "103 - Scruggs" 2760 651 2009 64 20 7 9
"Franklin County" "201 - Glade Hill" 1444 315 1081 26 9 4 9
"Franklin County" "202 - Penhook" 1089 307 744 18 7 1 12
"Franklin County" "203 - Hodgesville" 265 73 184 4 1 1 2
"Franklin County" "204 - Dudley" 925 245 646 20 10 3 1
"Franklin County" "301 - Snow Creek" 730 142 563 12 6 3 4
"Franklin County" "302 - Fork Mountain" 616 117 473 13 7 1 5
"Franklin County" "303 - Sontag" 1245 466 723 33 13 7 3
"Franklin County" "304 - Dickinson" 510 220 274 8 4 4 0
"Franklin County" "401 - Henry" 1226 206 979 20 9 6 6
"Franklin County" "402 - Ferrum" 713 200 479 16 8 7 3
"Franklin County" "403 - Endicott" 682 135 509 16 9 5 8
"Franklin County" "501 - Waidsboro" 840 201 605 22 7 2 3
"Franklin County" "502 - Callaway" 1153 257 855 21 11 4 5
"Franklin County" "503 - Bowmans" 618 154 422 24 4 6 8
"Franklin County" "504 - Gogginsville" 951 218 696 15 11 3 8
"Franklin County" "601 - Boones Mill" 1468 349 1042 38 23 8 8
"Franklin County" "602 - Bonbrook" 1369 301 1000 36 16 12 4
"Franklin County" "603 - Coopers Cove" 1025 193 789 21 14 3 5
"Franklin County" "701 - Rocky Mount East" 1423 504 856 29 18 6 10
"Franklin County" "702 - Rocky Mount West" 1049 435 559 27 19 5 4
"Franklin County" "703 - Rocky Mount South" 919 366 514 18 10 1 10
"Franklin County" "Ab - Central Absentee Precinct" 2169 762 1310 47 24 10 16
"Franklin County" Provisional 12 3 9 0 0 0 0
"Franklin City" "101 - Precinct 1-1" 797 247 516 24 3 2 5
"Franklin City" "201 - Precinct 2-1" 686 288 366 20 6 2 4
"Franklin City" "301 - Precinct 3-1" 581 526 45 4 0 3 3
"Franklin City" "401 - Precinct 4-1" 465 415 44 6 0 0 0
"Franklin City" "501 - Precinct 5-1" 483 466 9 1 0 1 6
"Franklin City" "601 - Precinct 6-1" 686 374 278 16 4 5 9
"Franklin City" "Ab - Central Absentee Precinct" 369 200 163 1 2 3 0
"Franklin City" Provisional 3 3 0 0 0 0 0
"Frederick County" "101 - Russells" 1494 314 1112 46 10 7 5
"Frederick County" "102 - Gore" 1787 343 1353 45 11 21 14
"Frederick County" "103 - Kernstown" 1901 560 1224 60 24 20 13
"Frederick County" "104 - Cedar Creek" 1199 324 798 38 12 20 7
"Frederick County" "201 - Gainesborough" 1077 175 857 21 14 4 6
"Frederick County" "202 - Albin" 1582 402 1105 30 27 6 12
"Frederick County" "203 - Redland" 2134 527 1493 57 27 13 17
"Frederick County" "204 - Nain" 1663 426 1153 36 29 9 10
"Frederick County" "301 - Clear Brook" 1099 239 802 38 11 3 6
"Frederick County" "302 - Neff's Town" 2258 795 1308 83 28 25 19
"Frederick County" "303 - White Hall" 2357 637 1605 57 21 12 25
"Frederick County" "401 - Carpers Valley" 1848 597 1145 48 31 17 10
"Frederick County" "402 - Shenandoah" 985 279 640 41 12 10 3
"Frederick County" "403 - Parkin's Mill" 1738 529 1072 65 41 18 13
"Frederick County" "404 - Armel" 1719 546 1050 66 30 13 14
"Frederick County" "501 - Stephens City" 1947 609 1199 85 29 16 9
"Frederick County" "502 - Newtown" 2315 724 1432 99 32 18 10
"Frederick County" "503 - Canterburg" 2052 625 1328 56 17 17 9
"Frederick County" "601 - Millbrook" 1340 453 808 48 11 6 14
"Frederick County" "602 - Ash Hollow" 1796 659 999 67 35 23 13
"Frederick County" "603 - Greenwood" 2743 927 1641 87 40 27 21
"Frederick County" "Ab - Central Absentee Precinct" 3376 1230 1945 105 51 18 27
"Frederick County" Provisional 30 12 14 2 0 2 0
"Fredericksburg City" "101 - Precinct 1 - District One" 2626 1417 1026 83 41 41 18
"Fredericksburg City" "201 - Precinct 1 - District Two" 2460 1411 841 99 46 35 28
"Fredericksburg City" "301 - Precinct 1 - District Three" 2285 1226 862 101 47 25 24
"Fredericksburg City" "401 - Precinct 1 - District Four" 1424 1058 283 39 17 18 9
"Fredericksburg City" "402 - Precinct 2 - District Four" 974 654 260 28 20 6 6
"Fredericksburg City" "Ab - Central Absentee Precinct" 1464 924 459 38 18 12 13
"Fredericksburg City" Provisional 31 17 13 1 0 0 0
"Galax City" "1 - East" 917 279 593 24 9 4 8
"Galax City" "2 - North" 642 184 442 4 9 2 1
"Galax City" "3 - South" 541 132 390 10 6 1 2
"Galax City" "Ab - Central Absentee Precinct" 275 85 178 7 4 0 1
"Galax City" Provisional 1 1 0 0 0 0 0
"Giles County" "101 - Glen Lyn" 115 20 92 1 0 1 1
"Giles County" "102 - Rich Creek" 478 87 369 13 3 4 2
"Giles County" "103 - Narrows" 1541 316 1150 45 17 4 9
"Giles County" "201 - Pearisburg" 1925 417 1422 52 17 8 9
"Giles County" "202 - Staffordsville" 334 70 247 11 2 2 2
"Giles County" "203 - White Gate" 198 27 165 3 2 0 1
"Giles County" "301 - Eggleston" 616 171 420 11 5 8 1
"Giles County" "302 - Pembroke" 1473 341 1075 30 16 9 2
"Giles County" "303 - Newport" 825 280 513 21 7 2 2
"Giles County" "Ab - Central Absentee Precinct" 706 220 457 14 9 1 5
"Giles County" Provisional 1 1 0 0 0 0 0
"Gloucester County" "101 - Harcum" 1391 354 950 48 24 10 5
"Gloucester County" "102 - Salem" 1192 295 831 48 8 3 7
"Gloucester County" "103 - Peasley" 879 195 634 28 9 8 5
"Gloucester County" "201 - Courthouse" 1439 466 896 46 14 10 7
"Gloucester County" "202 - Botetourt" 2102 604 1368 74 29 19 8
"Gloucester County" "301 - White Marsh" 1547 327 1127 63 15 9 6
"Gloucester County" "302 - Roanes" 2042 520 1416 54 30 14 8
"Gloucester County" "401 - Hayes" 1898 579 1229 59 11 15 5
"Gloucester County" "402 - Sarahs Creek" 1624 510 1009 61 28 13 3
"Gloucester County" "501 - Achilles" 2270 511 1647 74 14 13 11
"Gloucester County" "502 - Walker" 1601 415 1086 74 15 7 4
"Gloucester County" "Ab - Central Absentee Precinct" 1618 623 894 62 16 13 10
"Gloucester County" Provisional 16 5 9 2 0 0 0
"Goochland County" "101 - Fife" 937 366 533 24 9 4 1
"Goochland County" "102 - Hadensville" 1466 480 912 45 15 6 8
"Goochland County" "201 - Three Square" 447 207 215 12 3 2 8
"Goochland County" "202 - Sandy Hook" 1866 763 1008 54 23 10 8
"Goochland County" "301 - Goochland Court House 1" 1193 408 738 33 8 2 4
"Goochland County" "302 - Goochland Court House 2" 534 161 343 14 7 6 3
"Goochland County" "401 - Shallow Well" 1200 458 673 41 19 3 6
"Goochland County" "402 - Centerville" 1864 531 1238 56 24 4 11
"Goochland County" "501 - Manakin" 1889 566 1205 81 10 7 20
"Goochland County" "502 - Blair Road" 1122 331 713 56 10 2 10
"Goochland County" "Ab - Central Absentee Precinct" 1503 613 796 58 17 7 12
"Goochland County" Provisional 16 5 10 0 0 1 0
"Grayson County" "101 - Bridle Creek" 272 71 186 4 5 5 1
"Grayson County" "102 - Flatridge" 167 38 126 2 0 1 0
"Grayson County" "103 - Grant" 286 76 198 5 2 3 2
"Grayson County" "104 - Mouth Of Wilson" 182 58 109 6 5 2 2
"Grayson County" "105 - Mount Rogers" 220 35 178 3 4 0 0
"Grayson County" "106 - Rugby" 227 46 169 7 4 0 1
"Grayson County" "107 - Troutdale" 133 17 110 1 1 0 4
"Grayson County" "108 - Comers Rock" 187 41 138 3 2 2 1
"Grayson County" "202 - Elk Creek" 450 79 352 6 6 7 0
"Grayson County" "203 - Independence" 1181 244 889 19 17 8 4
"Grayson County" "301 - Baywood" 726 124 582 10 6 3 1
"Grayson County" "302 - Fairview" 915 143 742 8 12 7 3
"Grayson County" "401 - Fries" 397 98 287 5 4 1 2
"Grayson County" "402 - Providence" 794 100 667 7 8 10 2
"Grayson County" "403 - Oldtown" 379 73 290 7 5 2 2
"Grayson County" "Ab - Central Absentee Precinct" 769 164 569 17 12 4 3
"Grayson County" Provisional 0 0 0 0 0 0 0
"Greene County" "101 - Dyke" 879 220 615 21 7 6 10
"Greene County" "102 - Swift Run" 1211 341 757 66 22 8 17
"Greene County" "201 - Ruckersville" 2099 643 1274 96 50 13 23
"Greene County" "301 - Stanardsville" 1945 523 1311 66 16 16 13
"Greene County" "401 - Midway" 2391 757 1426 112 54 15 27
"Greene County" "Ab - Central Absentee Precinct" 1078 439 560 44 17 8 10
"Greene County" Provisional 5 1 2 1 1 0 0
"Greensville County" "101 - Precinct 1-A" 483 317 158 5 3 0 0
"Greensville County" "102 - Precinct 1-B" 206 86 114 5 0 1 0
"Greensville County" "103 - Precinct 1-C" 354 305 44 2 0 3 0
"Greensville County" "201 - Precinct 2-A" 595 421 167 3 3 1 0
"Greensville County" "202 - Precinct 2-B" 690 284 400 5 0 1 0
"Greensville County" "302 - Precinct 3-A" 1166 753 398 12 3 0 0
"Greensville County" "401 - Precinct 4-A" 323 110 204 7 2 0 0
"Greensville County" "402 - Precinct 4-B" 312 195 111 5 1 0 0
"Greensville County" "403 - Precinct 4-C" 233 87 140 6 0 0 0
"Greensville County" Provisional 1 0 1 0 0 0 0
"Halifax County" "101 - Childrey" 733 292 428 9 4 0 0
"Halifax County" "102 - Liberty" 375 149 218 3 4 1 0
"Halifax County" "103 - Republican Grove" 781 366 395 6 3 6 5
"Halifax County" "201 - Clays Mill" 545 172 365 5 2 0 1
"Halifax County" "202 - Crossroads" 514 212 294 6 2 0 0
"Halifax County" "203 - Clover" 833 404 416 7 1 4 1
"Halifax County" "302 - Meadville" 353 227 111 5 7 2 1
"Halifax County" "304 - Vernon Hill" 576 200 367 1 3 2 3
"Halifax County" "305 - Sinai" 1067 649 399 11 1 3 4
"Halifax County" "401 - Courthouse" 924 452 444 14 6 5 3
"Halifax County" "403 - Center" 887 271 580 22 9 3 2
"Halifax County" "502 - Dan River" 1314 419 841 37 9 4 4
"Halifax County" "503 - Scottsburg" 642 129 497 11 4 0 1
"Halifax County" "601 - Black Walnut" 747 222 514 7 3 1 0
"Halifax County" "603 - Mt Carmel" 1103 485 596 15 5 2 0
"Halifax County" "605 - Union" 321 107 205 5 2 2 0
"Halifax County" "701 - Hyco" 1037 265 760 9 2 0 1
"Halifax County" "702 - Midway" 699 104 578 13 1 0 3
"Halifax County" "703 - Virgilina" 482 98 375 8 1 0 0
"Halifax County" "801 - South Boston East" 868 597 251 12 3 4 1
"Halifax County" "802 - South Boston West" 551 362 178 6 1 2 2
"Halifax County" "Ab - Central Absentee Precinct" 1636 708 886 25 4 3 10
"Halifax County" Provisional 13 7 6 0 0 0 0
"Hampton City" "101 - Aberdeen" 1524 1228 216 34 12 23 11
"Hampton City" "102 - Bassette" 1816 1644 117 13 21 6 15
"Hampton City" "103 - City Hall" 1130 890 183 36 3 10 8
"Hampton City" "104 - Cooper" 2583 2092 349 60 26 24 32
"Hampton City" "105 - East Hampton" 2118 1813 245 26 9 18 7
"Hampton City" "106 - Armstrong" 1943 1159 636 80 25 23 20
"Hampton City" "107 - Lindsay" 1608 1288 276 19 11 9 5
"Hampton City" "108 - Thomas" 2191 1851 268 30 20 16 6
"Hampton City" "109 - Phenix" 2026 1841 129 25 13 8 10
"Hampton City" "110 - Phoebus" 526 301 200 19 3 2 1
"Hampton City" "111 - Hampton Library" 757 401 296 40 5 12 3
"Hampton City" "112 - Smith" 2373 1636 610 60 19 23 25
"Hampton City" "115 - Wythe" 1132 560 505 44 11 4 8
"Hampton City" "116 - Jones" 942 654 237 24 11 8 8
"Hampton City" "117 - Kecoughtan" 1543 1082 380 39 17 11 14
"Hampton City" "118 - Mallory" 2135 1832 241 20 12 12 18
"Hampton City" "201 - Booker" 2139 924 1065 105 19 10 16
"Hampton City" "202 - Bryan" 2064 1004 919 84 17 27 13
"Hampton City" "203 - Burbank" 1524 845 585 47 13 14 20
"Hampton City" "204 - Forrest" 1692 1073 541 43 15 14 6
"Hampton City" "205 - Asbury" 2932 982 1773 102 33 28 14
"Hampton City" "208 - Kraft" 2970 1604 1176 111 25 32 22
"Hampton City" "209 - Langley" 1872 940 825 57 14 16 20
"Hampton City" "210 - Machen" 2826 1993 678 81 41 19 14
"Hampton City" "212 - Bethel" 2762 1877 740 79 28 23 15
"Hampton City" "213 - Phillips" 2788 1192 1381 120 42 19 34
"Hampton City" "214 - Tucker Capps" 2336 1376 839 62 20 20 19
"Hampton City" "215 - Tyler" 34 20 12 1 0 0 1
"Hampton City" "215 - Tyler" 574 471 85 10 3 2 3
"Hampton City" "216 - Sandy Bottom" 1372 855 439 37 15 8 18
"Hampton City" "217 - Syms" 994 444 505 33 4 1 7
"Hampton City" "Ab - Central Absentee Precinct" 1524 884 559 43 18 8 12
"Hampton City" "Ab - Central Absentee Precinct" 5426 4433 843 69 24 23 34
"Hampton City" Provisional 67 32 29 4 2 0 0
"Hampton City" Provisional 113 91 20 1 0 1 0
"Hanover County" "101 - Ashland" 1428 722 623 51 11 11 10
"Hanover County" "104 - Sliding Hill" 1599 613 878 61 24 7 16
"Hanover County" "105 - Berkley" 1381 796 499 49 19 12 6
"Hanover County" "106 - Kersey Creek" 985 325 604 33 15 1 7
"Hanover County" "107 - Chickahominy" 1306 476 721 73 21 5 10
"Hanover County" "201 - Beaverdam" 2102 498 1498 70 16 7 13
"Hanover County" "202 - Blunts" 1049 363 645 31 4 2 4
"Hanover County" "203 - Wilmington Parish" 1537 447 1015 47 15 8 5
"Hanover County" "206 - Courthouse" 1189 477 643 38 19 6 6
"Hanover County" "208 - Oak Knoll" 1443 409 944 57 18 8 7
"Hanover County" "209 - West Hanover" 451 145 279 18 4 4 1
"Hanover County" "210 - Oak Hill" 545 146 368 22 4 2 3
"Hanover County" "301 - Clay" 1877 508 1277 55 19 8 10
"Hanover County" "303 - Shady Grove" 1645 481 1072 50 24 10 8
"Hanover County" "304 - Atlee" 3628 1221 2138 174 53 22 20
"Hanover County" "305 - Cool Spring" 1862 618 1117 78 30 2 17
"Hanover County" "401 - Battlefield" 2042 391 1563 58 18 5 7
"Hanover County" "403 - Cold Harbor" 2490 658 1687 92 22 16 15
"Hanover County" "404 - Black Creek" 2186 404 1694 39 30 7 12
"Hanover County" "405 - Pebble Creek" 1182 361 759 31 20 1 10
"Hanover County" "406 - Beaverdam Creek" 487 132 319 22 7 6 1
"Hanover County" "502 - Rural Point" 1908 542 1271 45 21 12 17
"Hanover County" "503 - Newman" 1637 523 1000 79 19 5 11
"Hanover County" "504 - Studley" 1271 236 954 40 20 12 9
"Hanover County" "505 - Totopotomoy" 1001 211 740 35 5 4 6
"Hanover County" "506 - Georgetown" 1386 369 923 63 18 4 9
"Hanover County" "507 - Laurel Meadow" 1758 460 1185 77 20 4 12
"Hanover County" "601 - Village" 2748 726 1863 105 22 21 11
"Hanover County" "602 - Lee Davis" 2075 557 1410 73 14 16 5
"Hanover County" "603 - Mechanicsville" 1504 565 838 56 24 13 8
"Hanover County" "604 - Hanover Grove" 1295 342 882 50 13 1 7
"Hanover County" "701 - Farrington" 1762 478 1190 55 20 10 9
"Hanover County" "702 - Montpelier" 1660 582 984 66 12 7 9
"Hanover County" "703 - Rockville" 1724 520 1110 57 15 9 13
"Hanover County" "704 - Elmont" 1981 684 1165 76 33 12 11
"Hanover County" "705 - South Anna" 1024 308 654 34 18 7 3
"Hanover County" "Ab - Central Absentee Precinct" 5539 2066 3080 247 73 27 46
"Hanover County" Provisional 66 22 38 3 1 0 2
"Harrisonburg City" "101 - Northeast" 2384 1432 753 117 41 26 15
"Harrisonburg City" "102 - East Central" 1056 693 263 49 21 18 12
"Harrisonburg City" "103 - Southeast" 2351 1302 842 113 34 32 28
"Harrisonburg City" "104 - East" 2325 1257 880 116 25 32 15
"Harrisonburg City" "105 - South East Central" 2152 1235 736 115 30 23 13
"Harrisonburg City" "201 - Northwest" 2054 1079 801 76 46 29 23
"Harrisonburg City" "202 - Southwest" 2299 1266 829 89 48 51 16
"Harrisonburg City" "203 - West" 1954 1156 620 84 48 34 12
"Harrisonburg City" "Ab - Central Absentee Precinct" 1409 788 534 50 17 10 10
"Harrisonburg City" Provisional 9 4 4 1 0 0 0
"Henrico County" "101 - Coalpit" 2644 1272 1193 97 49 16 17
"Henrico County" "102 - Dumbarton" 2108 1469 505 69 28 21 16
"Henrico County" "103 - Glen Allen" 2805 1238 1389 106 41 10 21
"Henrico County" "104 - Glenside" 1490 1105 326 31 3 16 9
"Henrico County" "105 - Greendale" 1221 664 464 50 18 17 8
"Henrico County" "106 - Hermitage" 2195 1181 842 101 31 18 22
"Henrico County" "107 - Hilliard" 930 491 363 44 19 8 5
"Henrico County" "108 - Hungary Creek" 2804 1336 1288 105 42 17 16
"Henrico County" "109 - Hunton" 777 284 441 31 9 8 4
"Henrico County" "110 - Johnson" 765 404 310 27 9 13 2
"Henrico County" "111 - Lakeside" 1828 889 783 91 17 26 22
"Henrico County" "112 - Longan" 2057 1002 919 69 30 22 15
"Henrico County" "113 - Maude Trevvett" 843 393 392 40 7 5 6
"Henrico County" "114 - Monument Hills" 811 385 330 60 25 5 6
"Henrico County" "115 - Staples Mill" 2754 1210 1353 106 48 15 22
